"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2015,"HI",0,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1423000,NA,NA,0,0
2016,"HI",0,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1428890,NA,NA,0,1
2017,"HI",0,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1425760,NA,NA,0,1
2018,"HI",0,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1423100,NA,NA,0,1
2019,"HI",0,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1415620,NA,NA,0,1
2020,"HI",0,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1451250,NA,NA,0,1
2021,"HI",0,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1447030,NA,NA,0,1
2015,"IA",0,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3122540,NA,NA,0,0
2016,"IA",0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3133210,NA,NA,0,1
2017,"IA",0,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3143730,NA,NA,0,1
2018,"IA",0,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3149900,NA,NA,0,1
2019,"IA",0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3159600,NA,NA,0,1
2020,"IA",0,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3191140,NA,NA,0,1
2021,"IA",0,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3198610,NA,NA,0,1
2015,"ID",0,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1652500,NA,NA,0,0
2016,"ID",0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1684040,NA,NA,0,1
2017,"ID",0,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1719750,NA,NA,0,1
2018,"ID",0,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1752070,NA,NA,0,1
2019,"ID",0,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1789060,NA,NA,0,1
2020,"ID",0,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1849420,NA,NA,0,1
2021,"ID",0,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1904850,NA,NA,0,1
2015,"IL",1,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12859590,NA,2015,1,1
2016,"IL",1,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12821710,NA,2015,1,1
2017,"IL",1,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12779890,NA,2015,1,1
2018,"IL",1,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12724690,NA,2015,1,1
2019,"IL",1,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12667020,NA,2015,1,1
2020,"IL",1,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12799090,NA,2015,1,1
2021,"IL",1,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12700640,NA,2015,1,1
2022,"IL",1,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12621820,NA,2015,1,1
2015,"IN",0,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6611440,NA,NA,0,0
2016,"IN",0,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6637900,NA,NA,0,1
2017,"IN",0,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6662070,NA,NA,0,1
2018,"IN",0,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6698480,NA,NA,0,1
2019,"IN",0,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6731010,NA,NA,0,1
2020,"IN",0,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6790500,NA,NA,0,1
2021,"IN",0,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6815910,NA,NA,0,1
2022,"IN",0,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6844550,NA,NA,0,1
2015,"KS",0,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2910720,NA,NA,0,0
2016,"KS",0,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2912980,NA,NA,0,1
2017,"KS",0,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2910890,NA,NA,0,1
