"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2019,"FL",0,0.24,0.0784,0.7255,1,0.3137,0.2941,0.4314,0,0.2745,0,0.0588,21492060,0.65204898,NA,0,1
2020,"FL",0,0.33,0.1806,0.6806,0.9306,0.3889,0.375,0.4861,0,0.1389,0,0.0972,21592040,0.60378858,NA,0,1
2021,"FL",0,0.13,0.2069,0.6897,0.9655,0.2759,0.4483,0.5172,0,0.0345,0,0.069,21831950,0.53034102,NA,0,1
2022,"FL",0,0.05,0.3636,0.5455,0.9091,0.4545,0.3636,0.5455,0.0909,0,0,0,22379310,0.56196198,NA,0,1
2015,"GA",0,0.24,0.0833,0.8333,0.875,0.1667,0.3333,0.6667,0,0,0,0.0833,10183350,0.44442222,NA,0,0
2016,"GA",0,0.23,0.0833,0.8333,0.9167,0.2083,0.4167,0.375,0.0417,0.1667,0,0.0417,10308440,0.65620833,NA,0,1
2017,"GA",0,0.22,0.087,0.6522,0.8261,0.3043,0.3478,0.6087,0,0.0435,0,0.0435,10417030,0.50662722,NA,0,1
2018,"GA",0,0.32,0.0588,0.8529,0.9706,0.2647,0.5294,0.4412,0,0.0294,0,0.1471,10519390,0.52421384,NA,0,1
2019,"GA",0,0.26,0.1786,0.8571,0.9286,0.4286,0.2857,0.5357,0.0714,0.1071,0,0.0714,10628020,0.61483265,NA,0,1
2020,"GA",0,0.3,0.0625,0.7812,1,0.5,0.625,0.3125,0,0.0625,0,0.0312,10732890,0.5078125,NA,0,1
2021,"GA",0,0.21,0.1304,0.6957,0.9565,0.5217,0.4348,0.4783,0,0.087,0,0.0435,10792060,0.57460907,NA,0,1
2022,"GA",0,0.05,0,0.2,1,0.2,0.4,0.6,0,0,0,0,10931810,0.48,NA,0,1
2015,"HI",0,0.07,0,1,1,0,1,0,0,0,0,0,1423000,0,NA,0,0
2016,"HI",0,0.07,0,1,1,0,0,0,1,0,0,0,1428890,0,NA,0,1
2017,"HI",0,0.07,0,0,1,0,0,1,0,0,0,0,1425760,0,NA,0,1
2018,"HI",0,0.49,0.1429,0.8571,1,0,0,0.1429,0.7143,0.1429,0,0.1429,1423100,0.44893469,NA,0,1
2019,"HI",0,0.21,0,0.6667,0.3333,0.6667,0,0.3333,0.6667,0,0,0,1415620,0.44442222,NA,0,1
2020,"HI",0,0.14,0,0,1,0.5,0,0,1,0,0,0,1451250,0,NA,0,1
2021,"HI",0,0.07,1,0,1,1,0,0,1,0,0,0,1447030,0,NA,0,1
2015,"IA",0,0.16,0.2,0.6,0.6,0.6,0,1,0,0,0,0.2,3122540,0,NA,0,0
2016,"IA",0,0.13,0.25,1,1,0.25,0.75,0.25,0,0,0,0,3133210,0.375,NA,0,1
2017,"IA",0,0.16,0.4,0.6,1,0.6,0.2,0.8,0,0,0,0.2,3143730,0.32,NA,0,1
2018,"IA",0,0.22,0.1429,0.5714,1,0.4286,0.1429,0.8571,0,0,0,0,3149900,0.24495918,NA,0,1
2019,"IA",0,0.13,0,0.75,1,0.75,0.25,0.75,0,0,0,0,3159600,0.375,NA,0,1
2020,"IA",0,0.16,0.4,0.4,1,0.2,0.2,0.8,0,0,0,0.2,3191140,0.32,NA,0,1
2021,"IA",0,0.06,0,0.5,1,0,0,1,0,0,0,0,3198610,0,NA,0,1
2015,"ID",0,0.36,0.3333,1,1,0.1667,0,0.8333,0,0.1667,0,0,1652500,0.27782222,NA,0,0
2016,"ID",0,0.3,0.2,0.8,1,0.6,0,0.8,0,0.2,0,0,1684040,0.32,NA,0,1
2017,"ID",0,0.29,0.2,0.6,0.8,0.4,0,0.8,0,0.2,0,0,1719750,0.32,NA,0,1
2018,"ID",0,0.63,0,0.7273,0.9091,0.3636,0.0909,0.8182,0,0,0.0909,0.0909,1752070,0.31402314,NA,0,1
2019,"ID",0,0.34,0.1667,0.6667,1,0.1667,0,0.8333,0,0.1667,0,0.1667,1789060,0.27782222,NA,0,1
2020,"ID",0,0.27,0.4,0.8,1,0.4,0,0.6,0.2,0.2,0,0,1849420,0.56,NA,0,1
2021,"ID",0,0.26,0.2,0.8,1,0.4,0,1,0,0,0,0.2,1904850,0,NA,0,1
2015,"IL",1,0.13,0.0588,0.8235,1,0.4118,0.6471,0.2941,0,0.0588,0,0,12859590,0.49130934,2015,1,1
2016,"IL",1,0.19,0.0833,0.7083,0.9583,0.5417,0.5417,0.375,0,0.0833,0,0,12821710,0.55899722,2015,1,1
2017,"IL",1,0.12,0.1333,0.6,0.8667,0.4667,0.4667,0.4,0,0.1333,0,0.0667,12779890,0.60442222,2015,1,1
2018,"IL",1,0.13,0.2353,0.5294,0.9412,0.5882,0.4706,0.4118,0,0.1176,0,0.1176,12724690,0.59512664,2015,1,1
2019,"IL",1,0.08,0.1,0.8,1,0.4,0.8,0.1,0,0.1,0,0,12667020,0.34,2015,1,1
2020,"IL",1,0.09,0.2727,0.6364,0.9091,0.6364,0.6364,0.1818,0,0.1818,0,0,12799090,0.52889256,2015,1,1
2021,"IL",1,0.11,0.1429,0.6429,1,0.5,0.5714,0.3571,0,0.0714,0,0.0714,12700640,0.54088367,2015,1,1
2022,"IL",1,0.02,0.3333,0.3333,1,0,0,1,0,0,0,0,12621820,0,2015,1,1
2015,"IN",0,0.26,0.0588,0.8824,0.8235,0.2353,0.2941,0.6471,0,0.0588,0,0.0588,6611440,0.49130934,NA,0,0
2016,"IN",0,0.18,0.3333,0.5,0.9167,0.3333,0.3333,0.5833,0,0.0833,0,0,6637900,0.54173333,NA,0,1
