"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population"
2015,"MO",0,0.33,"10%","75%","90%","40%","40%","60%","0%","0%","0%","10%",6075410
2016,"MO",0,0.25,"0%","73.33%","100%","53.33%","46.67%","46.67%","0%","6.67%","0%","0%",6091380
2017,"MO",0,0.44,"0%","81.48%","88.89%","33.33%","40.74%","55.56%","0%","3.7%","0%","11.11%",6111380
2018,"MO",0,0.28,"0%","88.24%","100%","41.18%","41.18%","52.94%","5.88%","0%","0%","5.88%",6125990
2019,"MO",0,0.36,"0%","72.73%","90.91%","54.55%","50%","45.45%","0%","4.55%","0%","9.09%",6140480
2020,"MO",0,0.28,"0%","76.47%","94.12%","52.94%","47.06%","52.94%","0%","0%","0%","5.88%",6154740
2021,"MO",0,0.13,"12.5%","62.5%","100%","37.5%","25%","75%","0%","0%","0%","0%",6171370
2022,"MO",0,0.1,"0%","33.33%","100%","66.67%","33.33%","50%","0%","16.67%","0%","0%",6179410
2015,"MS",0,0.2,"0%","66.67%","83.33%","16.67%","0%","100%","0%","0%","0%","0%",2990230
2016,"MS",0,0.27,"0%","87.5%","75%","50%","50%","50%","0%","0%","0%","0%",2990600
2017,"MS",0,0.5,"13.33%","73.33%","86.67%","26.67%","40%","53.33%","0%","6.67%","0%","6.67%",2990670
2018,"MS",0,0.27,"0%","75%","87.5%","50%","62.5%","37.5%","0%","0%","0%","12.5%",2982880
2019,"MS",0,0.44,"15.38%","69.23%","100%","61.54%","30.77%","61.54%","7.69%","0%","0%","0%",2978230
2020,"MS",0,0.3,"11.11%","77.78%","100%","22.22%","33.33%","66.67%","0%","0%","0%","0%",2958540
2021,"MS",0,0.24,"0%","57.14%","100%","42.86%","71.43%","28.57%","0%","0%","0%","0%",2947210
2015,"MT",0,0.19,"0%","100%","100%","50%","0%","100%","0%","0%","0%","0%",1031500
2016,"MT",0,0.48,"20%","60%","100%","0%","0%","100%","0%","0%","0%","0%",1042140
2017,"MT",0,0.38,"25%","75%","100%","75%","0%","50%","0%","0%","50%","0%",1053860
2018,"MT",0,0.47,"20%","40%","100%","0%","0%","80%","0%","0%","20%","20%",1061820
2019,"MT",0,0.56,"0%","66.67%","100%","33.33%","0%","100%","0%","0%","0%","0%",1070120
