Year,State,State_Mandate,Shootings,Body_Cam_Rate,Threat_Rate,Weapon_Rate,Flee_Rate,Gender_Rate,Population,Race_Diversity,AdoptionYear,Mandate,Post
2019,KS,0,0.31,0,8.89E-07,1.00E-06,3.33E-07,1.11E-07,2912640,1,NA,0,1
2020,KS,0,0.24,1.43E-07,8.57E-07,1.00E-06,8.57E-07,0,2938170,1,NA,0,1
2021,KS,0,0.1,6.67E-07,6.67E-07,1.00E-06,6.67E-07,0,2938340,1,NA,0,1
2022,KS,0,0.03,0,1.00E-06,1.00E-06,1.00E-06,0,2937320,1,NA,0,1
2015,KY,0,0.32,0,8.57E-07,1.00E-06,1.43E-07,0,4429130,1,NA,0,0
2016,KY,0,0.36,6.25E-08,8.13E-07,9.38E-07,3.75E-07,0,4440310,1,NA,0,1
2017,KY,0,0.31,2.14E-07,5.71E-07,9.29E-07,2.86E-07,1.43E-07,4455590,1,NA,0,1
2018,KY,0,0.36,6.25E-08,6.88E-07,1.00E-06,2.50E-07,0,4464270,1,NA,0,1
2019,KY,0,0.18,0,8.75E-07,1.00E-06,3.75E-07,0,4472350,1,NA,0,1
2020,KY,0,0.27,2.50E-07,9.17E-07,9.17E-07,4.17E-07,8.33E-08,4508320,1,NA,0,1
2021,KY,0,0.16,0,7.14E-07,1.00E-06,2.86E-07,0,4507580,1,NA,0,1
2022,KY,0,0.09,2.50E-07,5.00E-07,1.00E-06,2.50E-07,0,4519230,1,NA,0,1
2015,LA,0,0.49,1.74E-07,8.70E-07,9.13E-07,3.04E-07,0,4667000,1,NA,0,0
2016,LA,0,0.23,1.82E-07,9.09E-07,1.00E-06,1.82E-07,0,4681350,1,NA,0,1
2017,LA,0,0.34,1.25E-07,6.25E-07,8.13E-07,2.50E-07,0,4673670,1,NA,0,1
2018,LA,0,0.26,8.33E-08,7.50E-07,8.33E-07,2.50E-07,8.33E-08,4664450,1,NA,0,1
2019,LA,0,0.3,7.14E-08,7.14E-07,1.00E-06,3.57E-07,7.14E-08,4658290,1,NA,0,1
2020,LA,0,0.32,1.33E-07,6.67E-07,1.00E-06,3.33E-07,0,4652300,1,NA,0,1
2021,LA,0,0.17,0,5.00E-07,1.00E-06,7.50E-07,1.25E-07,4627970,1,NA,0,1
2022,LA,0,0.04,5.00E-07,5.00E-07,5.00E-07,0,0,4593690,1,NA,0,1
2015,MA,0,0.1,0,7.14E-07,1.00E-06,4.29E-07,0,6797480,1,NA,0,0
2016,MA,0,0.18,0,5.00E-07,9.17E-07,1.67E-07,0,6827280,1,NA,0,1
2017,MA,0,0.03,0,5.00E-07,1.00E-06,1.00E-06,0,6863560,1,NA,0,1
2018,MA,0,0.04,0,3.33E-07,6.67E-07,3.33E-07,0,6885720,1,NA,0,1
2019,MA,0,0.03,5.00E-07,1.00E-06,1.00E-06,1.00E-06,0,6894880,1,NA,0,1
2020,MA,0,0.09,0,6.67E-07,1.00E-06,5.00E-07,0,6994600,1,NA,0,1
2021,MA,0,0.04,0,3.33E-07,1.00E-06,3.33E-07,0,7000470,1,NA,0,1
2015,MD,1,0.2,0,3.33E-07,7.50E-07,3.33E-07,8.33E-08,5988530,1,2015,1,1
2016,MD,1,0.23,7.14E-08,8.57E-07,9.29E-07,0,2.14E-07,6007010,1,2015,1,1
2017,MD,1,0.12,8.57E-07,4.29E-07,8.57E-07,2.86E-07,0,6028190,1,2015,1,1
2018,MD,1,0.2,2.50E-07,6.67E-07,9.17E-07,5.00E-07,0,6042150,1,2015,1,1
2019,MD,1,0.26,2.50E-07,6.88E-07,9.38E-07,3.75E-07,0,6054950,1,2015,1,1
2020,MD,1,0.21,3.08E-07,7.69E-07,9.23E-07,2.31E-07,0,6177940,1,2015,1,1
2021,MD,1,0.18,2.73E-07,7.27E-07,1.00E-06,3.64E-07,0,6179400,1,2015,1,1
2022,MD,1,0.03,5.00E-07,5.00E-07,5.00E-07,0,0,6192440,1,2015,1,1
2015,ME,0,0.15,0,1.00E-06,1.00E-06,5.00E-07,0,1329100,1,NA,0,0
2016,ME,0,0.08,0,1.00E-06,1.00E-06,0,0,1332350,1,NA,0,1
2017,ME,0,0.45,0,5.00E-07,1.00E-06,0,0,1335740,1,NA,0,1
2018,ME,0,0.07,0,1.00E-06,1.00E-06,0,0,1340120,1,NA,0,1
2019,ME,0,0.15,0,1.00E-06,1.00E-06,5.00E-07,0,1345770,1,NA,0,1
2020,ME,0,0.22,0,1.00E-06,1.00E-06,3.33E-07,0,1364570,1,NA,0,1
2021,ME,0,0.15,0,0,1.00E-06,1.00E-06,0,1378930,1,NA,0,1
2022,ME,0,0.07,0,1.00E-06,1.00E-06,1.00E-06,0,1390920,1,NA,0,1
2015,MI,0,0.16,6.25E-08,8.13E-07,8.75E-07,1.25E-07,0,9934480,1,NA,0,0
2016,MI,0,0.12,2.50E-07,7.50E-07,1.00E-06,1.67E-07,8.33E-08,9954120,1,NA,0,1
2017,MI,0,0.11,9.09E-08,6.36E-07,8.18E-07,9.09E-08,9.09E-08,9976750,1,NA,0,1
2018,MI,0,0.16,6.25E-08,8.13E-07,9.38E-07,2.50E-07,0,9987290,1,NA,0,1
