"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2022,"CO",0,0.07,0,7.5e-07,1e-06,7.5e-07,0,1e-06,0,0,0,0,5850940,0.999999999999,NA,0,1
2015,"CT",1,0.06,0,1e-06,1e-06,5e-07,0,1e-06,0,0,0,0,3588560,0.999999999999,2016,1,0
2016,"CT",1,0.08,0,3.333e-07,1e-06,0,0,6.667e-07,0,3.333e-07,0,0,3579830,0.999999999999444,2016,1,1
2017,"CT",1,0.03,0,1e-06,1e-06,1e-06,0,1e-06,0,0,0,0,3575320,0.999999999999,2016,1,1
2018,"CT",1,0.03,0,0,1e-06,0,0,1e-06,0,0,0,0,3574560,0.999999999999,2016,1,1
2019,"CT",1,0.11,2.5e-07,1e-06,7.5e-07,7.5e-07,2.5e-07,2.5e-07,0,5e-07,0,0,3566020,0.999999999999625,2016,1,1
2020,"CT",1,0.14,6e-07,6e-07,8e-07,2e-07,4e-07,2e-07,0,4e-07,0,0,3579920,0.99999999999964,2016,1,1
2021,"CT",1,0.03,1e-06,1e-06,1e-06,0,1e-06,0,0,0,0,0,3606610,0.999999999999,2016,1,1
2015,"DC",1,0.59,0,5e-07,7.5e-07,2.5e-07,1e-06,0,0,0,0,2.5e-07,677014,0.999999999999,2016,1,0
2016,"DC",1,0.73,4e-07,8e-07,1e-06,4e-07,1e-06,0,0,0,0,0,687576,0.999999999999,2016,1,1
2017,"DC",1,0.29,5e-07,1e-06,1e-06,5e-07,5e-07,5e-07,0,0,0,5e-07,697079,0.9999999999995,2016,1,1
2018,"DC",1,0.14,0,1e-06,1e-06,0,1e-06,0,0,0,0,0,704147,0.999999999999,2016,1,1
2019,"DC",1,0.14,0,1e-06,1e-06,0,1e-06,0,0,0,0,0,708253,0.999999999999,2016,1,1
2020,"DC",1,0.15,1e-06,0,1e-06,1e-06,1e-06,0,0,0,0,0,670917,0.999999999999,2016,1,1
2021,"DC",1,0.45,3.333e-07,1e-06,6.667e-07,3.333e-07,6.667e-07,3.333e-07,0,0,0,3.333e-07,669256,0.999999999999444,2016,1,1
2015,"DE",0,0.11,1e-06,1e-06,1e-06,0,0,1e-06,0,0,0,0,942065,0.999999999999,NA,0,0
2016,"DE",0,0.11,0,0,1e-06,1e-06,0,1e-06,0,0,0,0,949989,0.999999999999,NA,0,1
2017,"DE",0,0.42,2.5e-07,7.5e-07,1e-06,2.5e-07,5e-07,5e-07,0,0,0,0,957942,0.9999999999995,NA,0,1
2020,"DE",0,0.2,0,5e-07,1e-06,0,5e-07,0,0,5e-07,0,0,991928,0.9999999999995,NA,0,1
2021,"DE",0,0.2,5e-07,0,1e-06,5e-07,5e-07,5e-07,0,0,0,5e-07,1005060,0.9999999999995,NA,0,1
2015,"FL",0,0.26,3.77e-08,7.925e-07,8.679e-07,2.453e-07,3.962e-07,4.528e-07,0,1.509e-07,0,1.89e-08,20219110,0.999999999999615,NA,0,0
2016,"FL",0,0.25,1.96e-08,4.902e-07,9.412e-07,1.765e-07,2.745e-07,5.49e-07,1.96e-08,1.569e-07,0,5.88e-08,20627240,0.999999999999598,NA,0,1
2017,"FL",0,0.22,2.17e-08,6.304e-07,8.913e-07,3.043e-07,3.478e-07,5.435e-07,0,1.087e-07,0,1.087e-07,20977090,0.999999999999572,NA,0,1
2018,"FL",0,0.26,9.09e-08,6.545e-07,8.545e-07,2.727e-07,3.273e-07,5.455e-07,0,1.273e-07,0,3.64e-08,21254930,0.999999999999579,NA,0,1
2019,"FL",0,0.24,7.84e-08,7.255e-07,1e-06,3.137e-07,2.941e-07,4.314e-07,0,2.745e-07,0,5.88e-08,21492060,0.999999999999652,NA,0,1
2020,"FL",0,0.33,1.806e-07,6.806e-07,9.306e-07,3.889e-07,3.75e-07,4.861e-07,0,1.389e-07,0,9.72e-08,21592040,0.999999999999604,NA,0,1
2021,"FL",0,0.13,2.069e-07,6.897e-07,9.655e-07,2.759e-07,4.483e-07,5.172e-07,0,3.45e-08,0,6.9e-08,21831950,0.99999999999953,NA,0,1
2022,"FL",0,0.05,3.636e-07,5.455e-07,9.091e-07,4.545e-07,3.636e-07,5.455e-07,9.09e-08,0,0,0,22379310,0.999999999999562,NA,0,1
2015,"GA",0,0.24,8.33e-08,8.333e-07,8.75e-07,1.667e-07,3.333e-07,6.667e-07,0,0,0,8.33e-08,10183350,0.999999999999444,NA,0,0
2016,"GA",0,0.23,8.33e-08,8.333e-07,9.167e-07,2.083e-07,4.167e-07,3.75e-07,4.17e-08,1.667e-07,0,4.17e-08,10308440,0.999999999999656,NA,0,1
2017,"GA",0,0.22,8.7e-08,6.522e-07,8.261e-07,3.043e-07,3.478e-07,6.087e-07,0,4.35e-08,0,4.35e-08,10417030,0.999999999999507,NA,0,1
2018,"GA",0,0.32,5.88e-08,8.529e-07,9.706e-07,2.647e-07,5.294e-07,4.412e-07,0,2.94e-08,0,1.471e-07,10519390,0.999999999999524,NA,0,1
2019,"GA",0,0.26,1.786e-07,8.571e-07,9.286e-07,4.286e-07,2.857e-07,5.357e-07,7.14e-08,1.071e-07,0,7.14e-08,10628020,0.999999999999615,NA,0,1
2020,"GA",0,0.3,6.25e-08,7.812e-07,1e-06,5e-07,6.25e-07,3.125e-07,0,6.25e-08,0,3.12e-08,10732890,0.999999999999508,NA,0,1
2021,"GA",0,0.21,1.304e-07,6.957e-07,9.565e-07,5.217e-07,4.348e-07,4.783e-07,0,8.7e-08,0,4.35e-08,10792060,0.999999999999575,NA,0,1
2022,"GA",0,0.05,0,2e-07,1e-06,2e-07,4e-07,6e-07,0,0,0,0,10931810,0.99999999999948,NA,0,1
2015,"HI",0,0.07,0,1e-06,1e-06,0,1e-06,0,0,0,0,0,1423000,0.999999999999,NA,0,0
2016,"HI",0,0.07,0,1e-06,1e-06,0,0,0,1e-06,0,0,0,1428890,0.999999999999,NA,0,1
2017,"HI",0,0.07,0,0,1e-06,0,0,1e-06,0,0,0,0,1425760,0.999999999999,NA,0,1
2018,"HI",0,0.49,1.429e-07,8.571e-07,1e-06,0,0,1.429e-07,7.143e-07,1.429e-07,0,1.429e-07,1423100,0.999999999999449,NA,0,1
2019,"HI",0,0.21,0,6.667e-07,3.333e-07,6.667e-07,0,3.333e-07,6.667e-07,0,0,0,1415620,0.999999999999444,NA,0,1
2020,"HI",0,0.14,0,0,1e-06,5e-07,0,0,1e-06,0,0,0,1451250,0.999999999999,NA,0,1
2021,"HI",0,0.07,1e-06,0,1e-06,1e-06,0,0,1e-06,0,0,0,1447030,0.999999999999,NA,0,1
2015,"IA",0,0.16,2e-07,6e-07,6e-07,6e-07,0,1e-06,0,0,0,2e-07,3122540,0.999999999999,NA,0,0
2016,"IA",0,0.13,2.5e-07,1e-06,1e-06,2.5e-07,7.5e-07,2.5e-07,0,0,0,0,3133210,0.999999999999375,NA,0,1
2017,"IA",0,0.16,4e-07,6e-07,1e-06,6e-07,2e-07,8e-07,0,0,0,2e-07,3143730,0.99999999999932,NA,0,1
2018,"IA",0,0.22,1.429e-07,5.714e-07,1e-06,4.286e-07,1.429e-07,8.571e-07,0,0,0,0,3149900,0.999999999999245,NA,0,1
2019,"IA",0,0.13,0,7.5e-07,1e-06,7.5e-07,2.5e-07,7.5e-07,0,0,0,0,3159600,0.999999999999375,NA,0,1
2020,"IA",0,0.16,4e-07,4e-07,1e-06,2e-07,2e-07,8e-07,0,0,0,2e-07,3191140,0.99999999999932,NA,0,1
2021,"IA",0,0.06,0,5e-07,1e-06,0,0,1e-06,0,0,0,0,3198610,0.999999999999,NA,0,1
2015,"ID",0,0.36,3.333e-07,1e-06,1e-06,1.667e-07,0,8.333e-07,0,1.667e-07,0,0,1652500,0.999999999999278,NA,0,0
2016,"ID",0,0.3,2e-07,8e-07,1e-06,6e-07,0,8e-07,0,2e-07,0,0,1684040,0.99999999999932,NA,0,1
2017,"ID",0,0.29,2e-07,6e-07,8e-07,4e-07,0,8e-07,0,2e-07,0,0,1719750,0.99999999999932,NA,0,1
2018,"ID",0,0.63,0,7.273e-07,9.091e-07,3.636e-07,9.09e-08,8.182e-07,0,0,9.09e-08,9.09e-08,1752070,0.999999999999314,NA,0,1
2019,"ID",0,0.34,1.667e-07,6.667e-07,1e-06,1.667e-07,0,8.333e-07,0,1.667e-07,0,1.667e-07,1789060,0.999999999999278,NA,0,1
2020,"ID",0,0.27,4e-07,8e-07,1e-06,4e-07,0,6e-07,2e-07,2e-07,0,0,1849420,0.99999999999956,NA,0,1
